class,path,male,female
0,0/0_0.jpg,0,0
0,0/0_1.png,-1,-1
0,0/0_2.jpg,-1,-1
0,0/0_4.jpg,-1,-1
0,0/0_6.jpg,-1,-1
0,0/0_7.jpg,-1,-1
0,0/0_8.jpg,-1,-1
1,1/1_0.jpg,0,0
1,1/1_2.jpg,0,0
1,1/1_3.jpg,0,0
1,1/1_4.jpg,0,0
1,1/1_8.jpg,0,0
2,2/2_0.jpg,0,0
2,2/2_2.jpg,0,0
2,2/2_5.jpg,0,0
2,2/2_7.jpg,0,0
2,2/2_8.jpg,0,0
3,3/3_0.jpg,0,0
3,3/3_3.jpg,0,0
3,3/3_4.jpg,0,0
3,3/3_6.jpg,0,0
3,3/3_7.jpg,0,0
3,3/3_9.jpg,0,0
3,3/3_10.jpg,0,0
3,3/3_13.jpg,1,1
3,3/3_14.jpg,0,0
3,3/3_16.jpg,0,0
3,3/3_18.jpg,0,0
3,3/3_20.jpg,0,0
3,3/3_24.jpg,0,0
3,3/3_26.jpg,1,2
3,3/3_28.jpg,0,0
3,3/3_29.jpg,0,0
3,3/3_30.jpg,0,0
3,3/3_33.jpg,0,0
3,3/3_34.jpg,0,0
3,3/3_35.jpg,0,0
3,3/3_36.jpg,0,0
3,3/3_37.jpg,0,0
3,3/3_39.jpg,0,0
3,3/3_40.jpg,0,0
3,3/3_41.jpg,0,0
3,3/3_43.jpg,0,0
4,4/4_0.jpg,0,0
4,4/4_3.jpg,0,0
4,4/4_5.jpg,0,0
4,4/4_6.jpg,0,0
4,4/4_8.jpg,0,0
4,4/4_12.jpg,1,0
4,4/4_13.jpg,0,0
4,4/4_14.jpg,0,0
4,4/4_19.jpg,0,0
5,5/5_0.jpg,0,0
5,5/5_2.jpg,0,0
5,5/5_5.jpg,0,0
5,5/5_9.jpg,0,0
5,5/5_11.jpg,0,0
5,5/5_13.jpg,0,0
5,5/5_14.jpg,0,0
5,5/5_15.jpg,0,0
5,5/5_16.jpg,0,0
6,6/6_1.jpg,0,0
6,6/6_3.jpg,0,0
6,6/6_4.jpg,0,0
6,6/6_5.jpg,0,0
6,6/6_6.jpg,0,0
6,6/6_8.jpg,-1,-1
6,6/6_9.jpg,0,0
6,6/6_11.jpg,0,0
6,6/6_12.jpg,0,0
6,6/6_13.jpg,0,0
6,6/6_15.jpg,0,0
6,6/6_16.jpg,0,0
6,6/6_18.jpg,0,0
6,6/6_21.jpg,0,0
6,6/6_22.jpg,0,0
6,6/6_23.jpg,0,0
6,6/6_25.jpg,0,0
6,6/6_29.jpg,0,0
6,6/6_31.jpg,2,0
6,6/6_33.jpg,0,0
7,7/7_1.jpg,0,0
7,7/7_4.jpg,0,0
7,7/7_5.jpg,-1,-1
7,7/7_6.jpg,0,0
7,7/7_11.jpg,0,0
7,7/7_12.jpg,0,0
7,7/7_14.jpg,0,0
7,7/7_16.jpg,0,0
7,7/7_18.jpg,0,0
7,7/7_19.jpg,0,0
7,7/7_20.jpg,-1,-1
7,7/7_21.jpg,0,0
7,7/7_22.jpg,0,0
